ShopeeProductID,Sku,ItemID,ItemSku,VariationID,VariationSku,ModifiedUser,ModifiedDate
2264,DR-Strings-NGB-45-DATDR-1NBB45,6117069181,DR-Strings-NGB-45-DATDR-1NBB45,0,,bot,28/5/2020 14:16
2265,DATDR-1NPB45,6717072759,DATDR-1NPB45,0,,bot,28/5/2020 14:16
2266,DR-Strings-NRB5-45-DATDR-1NRB545,3317168587,DR-Strings-NRB5-45-DATDR-1NRB545,0,,bot,28/5/2020 14:16
2267,DR-Strings-NYB-45-DATDR-1NYB45,5717072990,DR-Strings-NYB-45-DATDR-1NYB45,0,,bot,28/5/2020 14:16
2268,DR-Strings-FB40-DATDR-1FB40,7617067965,DR-Strings-FB40-DATDR-1FB40,0,,bot,28/5/2020 14:16
2269,DR-Strings-NGB-45-DATDR-1NGB45,3517164400,DR-Strings-NGB-45-DATDR-1NGB45,0,,bot,28/5/2020 14:16
2270,DR-Strings-NPB5-45-DATDR-1NPB545,6217072660,DR-Strings-NPB5-45-DATDR-1NPB545,0,,bot,28/5/2020 14:16
2271,DR-Strings-NOB5-40-DATDR-1NOB540,7117069516,DR-Strings-NOB5-40-DATDR-1NOB540,0,,bot,28/5/2020 14:16
2272,DR-Strings-NPB-40-DATDR-1NPB40,6217069488,DR-Strings-NPB-40-DATDR-1NPB40,0,,bot,28/5/2020 14:16
2273,DR-Strings-FB-45/100-DATDR-1FB45100,4817067923,DR-Strings-FB-45/100-DATDR-1FB45100,0,,bot,28/5/2020 14:16
2274,DR-Strings-NMCB-45-DATDR-1NMCB45,6217069369,DR-Strings-NMCB-45-DATDR-1NMCB45,0,,bot,28/5/2020 14:16
2275,DR-Strings-NOB-45-DATDR-1NOB45,4317069547,DR-Strings-NOB-45-DATDR-1NOB45,0,,bot,28/5/2020 14:16
2276,DR-Strings-NMCB5-45-DATDR-1NMCB545,5617069001,DR-Strings-NMCB5-45-DATDR-1NMCB545,0,,bot,28/5/2020 14:16
2277,DR-Strings-NUSAB-45-DATDR-1NUSAB45,6417072539,DR-Strings-NUSAB-45-DATDR-1NUSAB45,0,,bot,28/5/2020 14:16
2278,DR-Strings-FB5-45-DATDR-1FB545,4917068001,DR-Strings-FB5-45-DATDR-1FB545,0,,bot,28/5/2020 14:16
2279,DR-Strings-NWB5-45-DATDR-1NWB545,5017072866,DR-Strings-NWB5-45-DATDR-1NWB545,0,,bot,28/5/2020 14:16
2280,DATDR-1SIB45,7917068569,DATDR-1SIB45,0,,bot,28/5/2020 14:16
2281,DR-Strings-NOB5-45-DATDR-1NOB545,6317069268,DR-Strings-NOB5-45-DATDR-1NOB545,0,,bot,28/5/2020 14:16
2282,DR-Strings-SIB5-45-DATDR-1SIB545,5617068714,DR-Strings-SIB5-45-DATDR-1SIB545,0,,bot,28/5/2020 14:16
2283,DR-Strings-PB5-40-DATDR-1PB540,4017068258,DR-Strings-PB5-40-DATDR-1PB540,0,,bot,28/5/2020 14:16
2284,DR-Strings-NUSAB-40-DATDR-1NUSAB40,6717072402,DR-Strings-NUSAB-40-DATDR-1NUSAB40,0,,bot,28/5/2020 14:16
2285,DR-Strings-NGB5-40 -DATDR-1NGB540,7917068932,DR-Strings-NGB5-40 -DATDR-1NGB540,0,,bot,28/5/2020 14:16
2286,DR-Strings-FB-6/30-DATDR-1FB630,5817068394,DR-Strings-FB-6/30-DATDR-1FB630,0,,bot,28/5/2020 14:16
2287,DR-Strings-PB-40-DATDR-1PB40,6217068103,DR-Strings-PB-40-DATDR-1PB40,0,,bot,28/5/2020 14:16
2288,DR-Strings-NOB5-45-DATDR-1NYB545,3717168749,DR-Strings-NOB5-45-DATDR-1NYB545,0,,bot,28/5/2020 14:16
2289,DATDR-1RDB540,6017068685,DATDR-1RDB540,0,,bot,28/5/2020 14:16
2290,DATDR-1RDB45,4817068534,DATDR-1RDB45,0,,bot,28/5/2020 14:16
2291,DR-Strings-NMCB6-30-DATDR-1NMCB630,7817069042,DR-Strings-NMCB6-30-DATDR-1NMCB630,0,,bot,28/5/2020 14:16
2292,DR-Strings-MR-45-DATDR-1MR45,3617164055,DR-Strings-MR-45-DATDR-1MR45,0,,bot,28/5/2020 14:16
2293,DATDR-1NGB545,7517068895,DATDR-1NGB545,0,,bot,28/5/2020 14:16
2294,DR-Strings-MR5-45-DATDR-1MR545,7617068269,DR-Strings-MR5-45-DATDR-1MR545,0,,bot,28/5/2020 14:16
2295,DR-Strings-NBB5-45-DATDR-1NBB545,5117068988,DR-Strings-NBB5-45-DATDR-1NBB545,0,,bot,28/5/2020 14:16
2296,DR-Strings-PB5-45-DATDR-1PB545,6917068476,DR-Strings-PB5-45-DATDR-1PB545,0,,bot,28/5/2020 14:16
2297,DR-Strings-PB-45/100-DATDR-1PB45100,7917068015,DR-Strings-PB-45/100-DATDR-1PB45100,0,,bot,28/5/2020 14:16
2298,DR-Strings-NEON-NMCE-9,2899581612,DR-Strings-NEON-NMCE-9,0,,bot,28/5/2020 14:16
2299,Dr-Strings-NMCA-11,7611890276,Dr-Strings-NMCA-11,0,,bot,28/5/2020 14:16
2300,DR-Strings-NEON-NBE-9,2894925426,DR-Strings-NEON-NBE-9,0,,bot,28/5/2020 14:16
2301,DR-Strings-NEON-NRE-10,2894991749,DR-Strings-NEON-NRE-10,0,,bot,28/5/2020 14:16
2302,DR-Strings-NEON-NBE-10,2894940539,DR-Strings-NEON-NBE-10,0,,bot,28/5/2020 14:16
2303,DR-Strings-NSA -DATDR-3NSA,4717073374,DR-Strings-NSA -DATDR-3NSA,0,,bot,28/5/2020 14:16
2304,DR-Strings-B45-DATDR-1FB45,3917163498,DR-Strings-B45-DATDR-1FB45,0,,bot,28/5/2020 14:16
2305,DR-Strings-UFSC-DATDR-3UFSC,7417073375,DR-Strings-UFSC-DATDR-3UFSC,0,,bot,28/5/2020 14:16
2306,DR-Strings-NEON-NMCE-10,2899574664,DR-Strings-NEON-NMCE-10,0,,bot,28/5/2020 14:16
2307,DR-Strings-NEON-NGE-9,2894981526,DR-Strings-NEON-NGE-9,0,,bot,28/5/2020 14:16
2308,DR-Strings-NEON-NRE-9,2895001985,DR-Strings-NEON-NRE-9,0,,bot,28/5/2020 14:16
2309,DR-Strings-NEON-NGE-10,2894968442,DR-Strings-NEON-NGE-10,0,,bot,28/5/2020 14:16
2310,Fantasia-F81BK,3215934844,Fantasia-F81BK,0,,bot,28/5/2020 14:16
2311,Fantasia-F81N,4715771775,Fantasia-F81N,0,,bot,28/5/2020 14:16
2312,Blackstar-Fly-3-Bluetooth,4510354744,Blackstar-Fly-3-Bluetooth,0,,bot,28/5/2020 14:16
2313,Blackstar-FLY-3-Union-Flag-PSU-1,7618406991,Blackstar-FLY-3-Union-Flag-PSU-1,0,,bot,28/5/2020 14:16
2314,Blackstar-FLY-3-Union-Flag,5618407149,Blackstar-FLY-3-Union-Flag,0,,bot,28/5/2020 14:16
2315,Ernie-Ball-Super-Slinky-2223,921881544,Ernie-Ball-Super-Slinky-2223,0,,bot,28/5/2020 14:16
2316,Ernieball-Earthwood-Light-P02004,921846805,Ernieball-Earthwood-Light-P02004,0,,bot,28/5/2020 14:16
2317,Ernie-Ball-Hybrid-Slinky-P02222,921900531,Ernie-Ball-Hybrid-Slinky-P02222,0,,bot,28/5/2020 14:16
2318,Ernie-Ball-Hybrid-Slinky-Bass-P02833,921859396,Ernie-Ball-Hybrid-Slinky-Bass-P02833,0,,bot,28/5/2020 14:16
2319,Ernie-Ball-Regular-Slinky-Bass-5-P02836,1790728639,Ernie-Ball-Regular-Slinky-Bass-5-P02836,0,,bot,28/5/2020 14:16
2320,Ernie-Ball-Extra-Slinky-Bass-P02835,921855522,Ernie-Ball-Extra-Slinky-Bass-P02835,0,,bot,28/5/2020 14:16
2321,Ernie-Ball-Super-Slinky-Bass-P02834,921869319,Ernie-Ball-Super-Slinky-Bass-P02834,0,,bot,28/5/2020 14:16
2322,Ernie-Ball-Super-Slinky-RPS-P02239,921877967,Ernie-Ball-Super-Slinky-RPS-P02239,0,,bot,28/5/2020 14:16
2323,Ernie-Ball-Power-Slinky-RPS-P02242,921892462,Ernie-Ball-Power-Slinky-RPS-P02242,0,,bot,28/5/2020 14:16
2324,Ernie-Ball-Everlast-Acoustic-Light-P02558,921818811,Ernie-Ball-Everlast-Acoustic-Light-P02558,0,,bot,28/5/2020 14:16
2325,Laney-LX20R,3819480507,Laney-LX20R,0,,bot,28/5/2020 14:16
2326,Ernie-Ball-Regular-Slinky-RPS-P02240,921885618,Ernie-Ball-Regular-Slinky-RPS-P02240,0,,bot,28/5/2020 14:16
2327,Ernie-Cobalt-Super-Slinky-P02723,1723405177,Ernie-Cobalt-Super-Slinky-P02723,0,,bot,28/5/2020 14:16
2328,Ernie-Ball-Cobalt-Regular-Slinky-P02721,2914494171,Ernie-Ball-Cobalt-Regular-Slinky-P02721,0,,bot,28/5/2020 14:16
2329,Ernie-Ball-Paradigm-Super-Slinky,1723390751,Ernie-Ball-Paradigm-Super-Slinky,0,,bot,28/5/2020 14:16
2330,Ernieball-Earthwood-Medium-Light-P02003,1164333183,Ernieball-Earthwood-Medium-Light-P02003,0,,bot,28/5/2020 14:16
2331,Ernie-Ball-Paradigm-Phosphor-Bronze-Light-P02078,2913747826,Ernie-Ball-Paradigm-Phosphor-Bronze-Light-P02078,0,,bot,28/5/2020 14:16
2332,Ernie-Ball-Paradigm-Bronze-80-20-Medium-Light,2913740727,Ernie-Ball-Paradigm-Bronze-80-20-Medium-Light,0,,bot,28/5/2020 14:16
2333,Ernie-Ball-Top-Heavy-Slinky-P02215,1624884031,Ernie-Ball-Top-Heavy-Slinky-P02215,0,,bot,28/5/2020 14:16
2334,Ernie-Ball-Paradigm-Bronze-80-20-Light,2899629732,Ernie-Ball-Paradigm-Bronze-80-20-Light,0,,bot,28/5/2020 14:16
2335,Ernie-Ball-Paradigm-Bronze-80-20-Extra-Light,1723351865,Ernie-Ball-Paradigm-Bronze-80-20-Extra-Light,0,,bot,28/5/2020 14:16
2336,Ernie-Ball-Hybrid-Slinky-RPS-P02241,1624891082,Ernie-Ball-Hybrid-Slinky-RPS-P02241,0,,bot,28/5/2020 14:16
2337,Ernie-Cobalt-Hybrid-Slinky-P02722,1723410238,Ernie-Cobalt-Hybrid-Slinky-P02722,0,,bot,28/5/2020 14:16
2338,Ernie-Ball-Cobalt-Power-Slinky-P02720,1723396465,Ernie-Ball-Cobalt-Power-Slinky-P02720,0,,bot,28/5/2020 14:16
2339,JoJo-AW460RD,2905186346,JoJo-AW460RD,0,,bot,28/5/2020 14:16
2340,JoJo-AW460SB,1291915699,JoJo-AW460SB,0,,bot,28/5/2020 14:16
2341,Ernie-Ball-Everlast-Acoustic-Medium-Light-P02556,1677550528,Ernie-Ball-Everlast-Acoustic-Medium-Light-P02556,0,,bot,28/5/2020 14:16
2342,Ernie-Ball-Everlast-Acoustic-Extra-Light-P02560,1677543322,Ernie-Ball-Everlast-Acoustic-Extra-Light-P02560,0,,bot,28/5/2020 14:16
2343,Ernieball-Earthwood-Phosphor-Bronze-Extra-Light-P02150,1677535295,Ernieball-Earthwood-Phosphor-Bronze-Extra-Light-P02150,0,,bot,28/5/2020 14:16
2344,Ernieball-Earthwood-Phosphor-Bronze-Light-P02148,1677530664,Ernieball-Earthwood-Phosphor-Bronze-Light-P02148,0,,bot,28/5/2020 14:16
2345,Ernieball-Earthwood-Phosphor-Bronze-Medium-Light-P02146,2892645586,Ernieball-Earthwood-Phosphor-Bronze-Medium-Light-P02146,0,,bot,28/5/2020 14:16
2346,Ernieball-Everlast-Coated-Phosphor-Bronze-Extra-Light-P02550,1677514196,Ernieball-Everlast-Coated-Phosphor-Bronze-Extra-Light-P02550,0,,bot,28/5/2020 14:16
2347,Ernieball-Everlast-Coated-Phosphor-Bronze-Light-P02548,1677497351,Ernieball-Everlast-Coated-Phosphor-Bronze-Light-P02548,0,,bot,28/5/2020 14:16
2348,Ernieball-Everlast-Coated-Phosphor-Bronze-Medium-Light-P02546,1677504186,Ernieball-Everlast-Coated-Phosphor-Bronze-Medium-Light-P02546,0,,bot,28/5/2020 14:16
2349,Ernie-Ball-Aluminum-Bronze-Extra-Light-P02570,1664375748,Ernie-Ball-Aluminum-Bronze-Extra-Light-P02570,0,,bot,28/5/2020 14:16
2350,Ernie-Ball-Aluminum-Bronze-Light-P02568,1664387274,Ernie-Ball-Aluminum-Bronze-Light-P02568,0,,bot,28/5/2020 14:16
2351,Ernie-Ball-Regular-Slinky-Bass-P02832,2892560725,Ernie-Ball-Regular-Slinky-Bass-P02832,0,,bot,28/5/2020 14:16
2352,Ernie-Ball-Aluminum-Bronze-Medium-Light-P02566,1664360471,Ernie-Ball-Aluminum-Bronze-Medium-Light-P02566,0,,bot,28/5/2020 14:16
2353,Ernie-Ball-7-String-Super-Slinky-P02623,1664328250,Ernie-Ball-7-String-Super-Slinky-P02623,0,,bot,28/5/2020 14:16
2354,Ernie-Ball-Earthwood-Banjo-P02063,2886763880,Ernie-Ball-Earthwood-Banjo-P02063,0,,bot,28/5/2020 14:16
2355,Ernie-Ball-Earthwood-Mandolin-Light-P02065,2886694198,Ernie-Ball-Earthwood-Mandolin-Light-P02065,0,,bot,28/5/2020 14:16
2356,Ernie-Ball-Earthwood-Mandolin-Medium-Light-P02067,1664148732,Ernie-Ball-Earthwood-Mandolin-Medium-Light-P02067,0,,bot,28/5/2020 14:16
2357,Ernie-Ball-Earthwood-Nylon-Classic-Ball-End-P02069,2842015077,Ernie-Ball-Earthwood-Nylon-Classic-Ball-End-P02069,0,,bot,28/5/2020 14:16
2358,Ernie-Ball-Earthwood-Acoustic-Bass-P02070,2841977991,Ernie-Ball-Earthwood-Acoustic-Bass-P02070,0,,bot,28/5/2020 14:16
2359,Ernie-Ball-Earthwood-Silk-and-Steel-Soft-P02045,5223290284,Ernie-Ball-Earthwood-Silk-and-Steel-Soft-P02045,0,,bot,28/5/2020 14:16
2360,Ernie-Ball-Earthwood-12-String-Light-P02010,2841894057,Ernie-Ball-Earthwood-12-String-Light-P02010,0,,bot,28/5/2020 14:16
2361,Ernie-Ball-Beefy-Slinky-P2627,2839999498,Ernie-Ball-Beefy-Slinky-P2627,0,,bot,28/5/2020 14:16
2362,Ernie-Ball-P01010-X5,7723284686,Ernie-Ball-P01010-X5,0,,bot,28/5/2020 14:16
